Stadtteil,Gesamt,Maennlich,Weiblich,SGBIII,SGBII,Deutsche,Auslaender,>20,20-<25,25-<54,55+,Langzeit,Schwerbehindert,Teilzeit,ProzentAnteil_15-<65
Altstadt,19,12,7,5,14,18,1,-,2,14,3,6,-,2,44
Vorstadt,63,41,22,17,46,55,8,-,3,50,10,25,2,8,73
Exerzierplatz,433,334,99,97,336,388,45,5,42,340,46,117,16,25,89
Damperhof,149,104,45,37,112,134,15,-,7,129,13,57,9,7,60
Brunswik,237,137,100,67,170,201,36,3,16,194,24,82,10,24,49
Düsternbrook,33,18,15,15,18,32,1,-,-,26,7,8,-,5,16
Blücherplatz,250,124,126,130,120,234,16,1,14,193,42,70,11,35,30
Wik,608,319,289,211,397,541,67,11,49,456,92,173,26,106,47
Ravensberg,374,212,162,123,251,344,30,3,25,287,59,124,11,35,38
Schreventeich,492,323,169,139,353,443,47,6,41,374,71,162,18,44,53
Südfriedhof,735,451,284,181,554,636,99,6,55,585,89,259,23,83,63
Gaarden-Ost,2557,1586,971,214,2343,1887,666,41,171,2061,284,982,97,280,203
Gaarden-Süd/Kronsburg,661,389,272,97,564,535,126,10,33,522,96,245,18,88,94
Hassee,793,497,296,163,630,689,103,13,79,592,109,303,42,124,91
Hasseldieksdamm,68,42,26,16,52,62,6,1,1,55,11,24,2,11,39
Ellerbek,375,224,151,66,309,290,85,2,33,275,65,169,15,58,101
Wellingdorf,567,303,264,96,471,477,89,10,50,422,85,242,22,97,108
Holtenau,165,95,70,53,112,152,13,2,10,117,36,57,12,22,51
Pries,371,215,156,91,280,336,35,9,36,261,65,124,15,61,79
Friedrichsort,102,60,42,31,71,90,12,2,13,70,17,37,4,22,78
Neumühlen/Dietrichsdorf,951,539,412,145,806,801,150,19,90,712,130,416,35,183,120
Elmschenhagen,825,449,376,206,619,718,105,14,68,621,122,272,25,153,72
Suchsdorf,192,105,87,74,118,176,16,2,16,136,38,67,9,46,34
Schilksee,115,57,58,31,84,100,15,1,8,78,28,41,4,22,44
Mettenhof,1924,1048,876,185,1739,1430,491,48,154,1475,247,795,65,367,161
Russee,180,78,102,62,118,150,30,1,10,129,40,60,8,41,38
Meimersdorf,68,34,34,36,32,59,9,1,6,45,16,20,3,9,34
Moorsee,46,21,25,17,29,38,4,1,2,35,8,16,4,7,35
Wellsee,217,126,91,59,158,186,31,8,21,153,35,65,13,46,63
Rönne,7,3,4,5,2,7,-,-,-,4,3,2,-,2,24
nichtZuzuordnen,14,4,10,2,12,8,6,-,2,10,2,6,-,2,x
KielGesamt,13686,8009,5677,2699,10987,11303,2366,221,1065,10493,1907,5061,522,2024,82
